id;name;;;;
37;Bubutan;;;;
41;Genteng;;;;
56;Simokerto;;;;
61;Tegalsari;;;;
39;Dukuh Pakis;;;;
40;Gayungan;;;;
44;Jambangan;;;;
45;Karangpilang;;;;
54;Sawahan;;;;
63;Wiyung;;;;
64;Wonocolo;;;;
65;Wonokromo;;;;
35;Asemrowo;;;;
36;Benowo;;;;
48;Lakarsantri;;;;
51;Pakal;;;;
53;Sambikerep;;;;
58;Sukomanunggal;;;;
60;Tandes;;;;
42;Gubeng;;;;
43;Gununganyar;;;;
49;Mulyorejo;;;;
52;Rungkut;;;;
57;Sukolilo;;;;
59;Tambaksari;;;;
62;Tenggilis Mejoyo;;;;
38;Bulak;;;;
46;Kenjeran;;;;
47;Krembangan;;;;
50;Pabean Cantikan;;;;
55;Semampir;;;;
