id;name;;;;
28;Satuan Polisi Pamong Praja;;;;
517;Bagian Hukum dan Kerjasama;;;;
523;Badan Pengelolaan Keuangan dan Aset Daerah;;;;
31;Bagian Perekonomian dan Sumber Daya Alam;;;;
16;Dinas Kependudukan dan Pencatatan Sipil;;;;
12;Dinas Kesehatan;;;;
17;Dinas Ketahanan Pangan dan Pertanian;;;;
27;Dinas Komunikasi dan Informatika;;;;
4;Dinas Lingkungan Hidup;;;;
15;Dinas Pemadam Kebakaran dan Penyelamatan;;;;
9;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;;;;
13;Dinas Pendidikan;;;;
18;Dinas Perhubungan;;;;
11;Dinas Perumahan Rakyat dan Kawasan Permukiman serta Pertanahan;;;;
20;Dinas Perindustrian dan Tenaga Kerja;;;;
1;Inspektorat;;;;
46;Kecamatan Simokerto;;;;
47;Kecamatan Bubutan;;;;
48;Kecamatan Genteng;;;;
49;Kecamatan Gubeng;;;;
77;Kelurahan Bubutan;;;;
78;Kelurahan Gundih;;;;
79;Kelurahan Jepara;;;;
80;Kelurahan Tembok Dukuh;;;;
191;Kelurahan Ploso;;;;
192;Kelurahan Rangkah;;;;
194;Kelurahan Kendangsari;;;;
198;Kelurahan Tenggilis Mejoyo;;;;
199;Kelurahan Asemrowo;;;;
3;Badan Perencanaan Pembangunan Daerah Penelitian dan Pengembangan;;;;
200;Kelurahan Genteng;;;;
21;Badan Pendapatan Daerah;;;;
201;Kelurahan Genting Kalianak;;;;
543;sukol;;;;
205;Kelurahan Klampis Ngasem;;;;
544;tambak;;;;
204;Kelurahan Kandangan;;;;
190;Kelurahan Pacar Kembang;;;;
215;Kelurahan Babat Jerawat;;;;
518;Bagian Pemerintahan dan Kesejahteraan Rakyat;;;;
216;Kelurahan Benowo;;;;
217;Kelurahan Pakal;;;;
218;Kelurahan Sumber Rejo;;;;
220;Kelurahan Bringin;;;;
221;Kelurahan Lontar;;;;
222;Kelurahan Made;;;;
223;Kelurahan Sambikerep;;;;
224;Kelurahan Putat Gede;;;;
230;Kelurahan Balongsari;;;;
231;Kelurahan Banjar Sugihan;;;;
232;Kelurahan Karangpoh;;;;
