id;name;kecamatan_id;;;;
160;Genting Kalianak;35;;;;
161;Tambak Sarioso;35;;;;
162;Kandangan;36;;;;
163;Romokalisari;36;;;;
164;Sememi;36;;;;
167;Bubutan;37;;;;
168;Gundih;37;;;;
169;Jepara;37;;;;
170;Tembok Dukuh;37;;;;
171;Bulak;38;;;;
172;Kedung Cowek;38;;;;
173;Kenjeran;38;;;;
174;Sukolilo Baru;38;;;;
175;Dukuh Kupang;39;;;;
176;Dukuh Pakis;39;;;;
177;Gunungsari;39;;;;
178;Pradah Kali Kendal;39;;;;
179;Dukuh Menanggal;40;;;;
180;Gayungan;40;;;;
181;Ketintang;40;;;;
182;Menanggal;40;;;;
183;Embong Kaliasin;41;;;;
184;Genteng;41;;;;
185;Kapasari;41;;;;
186;Ketabang;41;;;;
187;Peneleh;41;;;;
188;Airlangga;42;;;;
189;Baratajaya;42;;;;
190;Gubeng;42;;;;
191;Kertajaya;42;;;;
192;Mojo;42;;;;
193;Pucang Sewu;42;;;;
194;Gunung Anyar;43;;;;
195;Gunung Anyar Tambak;43;;;;
196;Rungkut Menanggal;43;;;;
197;Rungkut Tengah;43;;;;
198;Jambangan;44;;;;
199;Karah;44;;;;
200;Kebonsari;44;;;;
201;Pagesangan;44;;;;
202;Karangpilang;45;;;;
203;Kebraon;45;;;;
204;Kedurus;45;;;;
205;Waru Gunung;45;;;;
206;Bulak Banteng;46;;;;
208;Tambak Wedi;46;;;;
209;Tanah Kali Kedinding;46;;;;
210;Dupak;47;;;;
211;Kemayoran;47;;;;
212;Krembangan Selatan;47;;;;
214;Perak Barat;47;;;;
215;Bangkingan;48;;;;
216;Jeruk;48;;;;
217;Lakar Santri;48;;;;
218;Lidah Kulon;48;;;;
219;Lidah Wetan;48;;;;
220;Sumur Welut;48;;;;
221;Dukuh Sutorejo;49;;;;
222;Kalijudan;49;;;;
223;Kalisari;49;;;;
225;Manyar Sabrangan;49;;;;
226;Mulyorejo;49;;;;
227;Bongkaran;50;;;;
228;Krembangan Utara;50;;;;
229;Nyamplungan;50;;;;
230;Perak Timur;50;;;;
231;Perak Utara;50;;;;
232;Babat Jerawat;51;;;;
233;Pakal;51;;;;
234;Sumber Rejo;51;;;;
236;Kedung Baruk;52;;;;
237;Medokan Ayu;52;;;;
238;Penjaringan Sari;52;;;;
239;Rungkut Kidul;52;;;;
242;Bringin;53;;;;
243;Lontar;53;;;;
244;Made;53;;;;
245;Sambikerep;53;;;;
246;Banyu Urip;54;;;;
247;Kupang Krajan;54;;;;
248;Pakis;54;;;;
249;Petemon;54;;;;
250;Putat Jaya;54;;;;
251;Sawahan;54;;;;
252;Ampel;55;;;;
253;Pegirian;55;;;;
254;Sidotopo;55;;;;
255;Ujung;55;;;;
256;Wonokusumo;55;;;;
257;Kapasan;56;;;;
258;Sidodadi;56;;;;
259;Simokerto;56;;;;
260;Simolawang;56;;;;
261;Tambakrejo;56;;;;
241;Benowo;51;;;;
235;Kalirungkut;52;;;;
165;Tambak Oso Wilangun;36;;;;
240;Wonorejo Rungkut;52;;;;
224;Kejawan Putih Tambak;49;;;;
262;Gebang Putih;57;;;;
263;Keputih;57;;;;
264;Klampis Ngasem;57;;;;
265;Medokan Semampir;57;;;;
266;Menur Pumpungan;57;;;;
267;Nginden Jangkungan;57;;;;
268;Semolowaru;57;;;;
269;Putat Gede;58;;;;
270;Simomulyo;58;;;;
271;Simomulyo Baru;58;;;;
272;Sonokwijenan;58;;;;
274;Tanjungsari;58;;;;
275;Dukuh Setro;59;;;;
276;Gading;59;;;;
280;Ploso;59;;;;
281;Rangkah;59;;;;
282;Tambaksari;59;;;;
286;Manukan Kulon;60;;;;
290;Kedungdoro;61;;;;
291;Keputran;61;;;;
292;Tegalsari;61;;;;
294;Kendangsari;62;;;;
295;Kutisari;62;;;;
296;Panjang Jiwo;62;;;;
298;Babatan;63;;;;
299;Balas Klumprik;63;;;;
301;Wiyung;63;;;;
302;Bendul Merisi;64;;;;
303;Jemur Wonosari;64;;;;
304;Margorejo;64;;;;
305;Sidosermo;64;;;;
306;Siwalankerto;64;;;;
307;Darmo;65;;;;
308;Jagir;65;;;;
309;Ngagel;65;;;;
311;Sawunggaling;65;;;;
312;Wonokromo;65;;;;
284;Banjar Sugihan;60;;;;
287;Manukan Wetan;60;;;;
213;Morokrembangan;47;;;;
313;Sidotopo Wetan;46;;;;
314;Alun-Alun Contong;37;;;;
315;Asemrowo;35;;;;
316;Tandes;60;;;;
289;Dr. Soetomo;61;;;;
300;Jajar Tunggal;63;;;;
310;Ngagel Rejo;65;;;;
277;Kapas Madya Baru;59;;;;
278;Pacarkeling;59;;;;
279;Pacarkembang;59;;;;
297;Tenggilis Mejoyo;62;;;;
273;Sukomanunggal;58;;;;
283;Balongsari;60;;;;
285;Karangpoh;60;;;;
317;Tanjung Perak;50;;;;
293;Wonorejo Tegalsari;61;;;;
